algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0,0,0,0,8,2,0,0
uniform,0,0,10,1,0.775,0.29,9.0,11.0,17,3,2.0,11.0
uniform,0,0,10,2,0,0,0,0,7,2,0,0
uniform,0,0,10,3,0,0,0,0,8,2,0,0
uniform,0,0,10,4,0,0,0,0,11,3,0,0
uniform,0,0,10,5,0,0,0,0,6,2,0,0
randomForest,0,0,10,0,0,0,0,0,8,2,0,0
randomForest,0,0,10,1,0.92,0.476666666667,9.0,11.0,17,3,2.0,11.0
randomForest,0,0,10,2,0,0,0,0,7,2,0,0
randomForest,0,0,10,3,0,0,0,0,8,2,0,0
randomForest,0,0,10,4,0.87,0.456666666667,9.0,11.0,11,3,2.0,11.0
randomForest,0,0,10,5,0,0,0,0,6,2,0,0
0.0,0.6,0.0,10,0,0,0,0,0,8,2,0,0
0.0,0.6,0.0,10,1,0,0,0,0,17,3,0,0
0.0,0.6,0.0,10,2,0,0,0,0,7,2,0,0
0.0,0.6,0.0,10,3,0,0,0,0,8,2,0,0
0.0,0.6,0.0,10,4,0,0,0,0,11,3,0,0
0.0,0.6,0.0,10,5,0,0,0,0,6,2,0,0
0.1,0.6,0.1,10,0,0,0,0,0,8,2,0,0
0.1,0.6,0.1,10,1,0.915,0.403333333333,9.0,11.0,17,3,2.0,11.0
0.1,0.6,0.1,10,2,0,0,0,0,7,2,0,0
0.1,0.6,0.1,10,3,0,0,0,0,8,2,0,0
0.1,0.6,0.1,10,4,0.96,0.453333333333,9.0,11.0,11,3,2.0,11.0
0.1,0.6,0.1,10,5,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,0,0,0,0,0,8,2,0,0
0.2,0.6,0.2,10,1,0.885,0.423333333333,9.0,11.0,17,3,2.0,11.0
0.2,0.6,0.2,10,2,0,0,0,0,7,2,0,0
0.2,0.6,0.2,10,3,0,0,0,0,8,2,0,0
0.2,0.6,0.2,10,4,0.93,0.436666666667,9.0,11.0,11,3,2.0,11.0
0.2,0.6,0.2,10,5,0,0,0,0,6,2,0,0
uniform,0,0,20,0,0,0,0,0,18,4,0,0
uniform,0,0,20,1,0,0,0,0,33,3,0,0
uniform,0,0,20,2,0,0,0,0,7,2,0,0
uniform,0,0,20,3,0,0,0,0,10,2,0,0
uniform,0,0,20,4,0,0,0,0,22,7,0,0
uniform,0,0,20,5,0,0,0,0,6,2,0,0
randomForest,0,0,20,0,0,0,0,0,18,4,0,0
randomForest,0,0,20,1,0.93,0.466666666667,17.0,21.0,33,3,4.0,21.0
randomForest,0,0,20,2,0,0,0,0,7,2,0,0
randomForest,0,0,20,3,0,0,0,0,10,2,0,0
randomForest,0,0,20,4,0.935,0.278571428571,17.0,21.0,22,7,4.0,21.0
randomForest,0,0,20,5,0,0,0,0,6,2,0,0
0.0,0.6,0.0,20,0,0,0,0,0,18,4,0,0
0.0,0.6,0.0,20,1,0,0,0,0,33,3,0,0
0.0,0.6,0.0,20,2,0,0,0,0,7,2,0,0
0.0,0.6,0.0,20,3,0,0,0,0,10,2,0,0
0.0,0.6,0.0,20,4,1.0,0.271428571429,17.0,21.0,22,7,4.0,21.0
0.0,0.6,0.0,20,5,0,0,0,0,6,2,0,0
0.1,0.6,0.1,20,0,0,0,0,0,18,4,0,0
0.1,0.6,0.1,20,1,0,0,0,0,33,3,0,0
0.1,0.6,0.1,20,2,0,0,0,0,7,2,0,0
0.1,0.6,0.1,20,3,0,0,0,0,10,2,0,0
0.1,0.6,0.1,20,4,0.975,0.244285714286,17.0,21.0,22,7,4.0,21.0
0.1,0.6,0.1,20,5,0,0,0,0,6,2,0,0
0.2,0.6,0.2,20,0,0,0,0,0,18,4,0,0
0.2,0.6,0.2,20,1,0.93,0.426666666667,17.0,21.0,33,3,4.0,21.0
0.2,0.6,0.2,20,2,0,0,0,0,7,2,0,0
0.2,0.6,0.2,20,3,0,0,0,0,10,2,0,0
0.2,0.6,0.2,20,4,0.971666666667,0.235714285714,17.0,21.0,22,7,4.0,21.0
0.2,0.6,0.2,20,5,0,0,0,0,6,2,0,0
uniform,0,0,30,0,0,0,0,0,21,6,0,0
uniform,0,0,30,1,0,0,0,0,41,4,0,0
uniform,0,0,30,2,0,0,0,0,7,2,0,0
uniform,0,0,30,3,0,0,0,0,10,2,0,0
uniform,0,0,30,4,0,0,0,0,22,7,0,0
uniform,0,0,30,5,0,0,0,0,6,2,0,0
randomForest,0,0,30,0,0,0,0,0,21,6,0,0
randomForest,0,0,30,1,0.81,0.32,27.0,31.0,41,4,4.0,31.0
randomForest,0,0,30,2,0,0,0,0,7,2,0,0
randomForest,0,0,30,3,0,0,0,0,10,2,0,0
randomForest,0,0,30,4,0.925,0.27,18.0,22.0,22,7,4.0,22.0
randomForest,0,0,30,5,0,0,0,0,6,2,0,0
0.0,0.6,0.0,30,0,0,0,0,0,21,6,0,0
0.0,0.6,0.0,30,1,0,0,0,0,41,4,0,0
0.0,0.6,0.0,30,2,0,0,0,0,7,2,0,0
0.0,0.6,0.0,30,3,0,0,0,0,10,2,0,0
0.0,0.6,0.0,30,4,0.99,0.238571428571,18.0,22.0,22,7,4.0,22.0
0.0,0.6,0.0,30,5,0,0,0,0,6,2,0,0
0.1,0.6,0.1,30,0,0,0,0,0,21,6,0,0
0.1,0.6,0.1,30,1,0,0,0,0,41,4,0,0
0.1,0.6,0.1,30,2,0,0,0,0,7,2,0,0
0.1,0.6,0.1,30,3,0,0,0,0,10,2,0,0
0.1,0.6,0.1,30,4,0,0,0,0,22,7,0,0
0.1,0.6,0.1,30,5,0,0,0,0,6,2,0,0
0.2,0.6,0.2,30,0,0,0,0,0,21,6,0,0
0.2,0.6,0.2,30,1,0,0,0,0,41,4,0,0
0.2,0.6,0.2,30,2,0,0,0,0,7,2,0,0
0.2,0.6,0.2,30,3,0,0,0,0,10,2,0,0
0.2,0.6,0.2,30,4,0.958333333333,0.25,18.0,22.0,22,7,4.0,22.0
0.2,0.6,0.2,30,5,0,0,0,0,6,2,0,0
uniform,0,0,40,0,0,0,0,0,21,6,0,0
uniform,0,0,40,1,0,0,0,0,44,4,0,0
uniform,0,0,40,2,0,0,0,0,7,2,0,0
uniform,0,0,40,3,0,0,0,0,10,2,0,0
uniform,0,0,40,4,0,0,0,0,22,7,0,0
uniform,0,0,40,5,0,0,0,0,6,2,0,0
randomForest,0,0,40,0,0,0,0,0,21,6,0,0
randomForest,0,0,40,1,0.805,0.325,31.0,37.0,44,4,6.0,37.0
randomForest,0,0,40,2,0,0,0,0,7,2,0,0
randomForest,0,0,40,3,0,0,0,0,10,2,0,0
randomForest,0,0,40,4,0.918333333333,0.275714285714,16.0,22.0,22,7,6.0,22.0
randomForest,0,0,40,5,0,0,0,0,6,2,0,0
0.0,0.6,0.0,40,0,0,0,0,0,21,6,0,0
0.0,0.6,0.0,40,1,0,0,0,0,44,4,0,0
0.0,0.6,0.0,40,2,0,0,0,0,7,2,0,0
0.0,0.6,0.0,40,3,0,0,0,0,10,2,0,0
0.0,0.6,0.0,40,4,0,0,0,0,22,7,0,0
0.0,0.6,0.0,40,5,0,0,0,0,6,2,0,0
0.1,0.6,0.1,40,0,0,0,0,0,21,6,0,0
0.1,0.6,0.1,40,1,0,0,0,0,44,4,0,0
0.1,0.6,0.1,40,2,0,0,0,0,7,2,0,0
0.1,0.6,0.1,40,3,0,0,0,0,10,2,0,0
0.1,0.6,0.1,40,4,0.98,0.267142857143,16.0,22.0,22,7,6.0,22.0
0.1,0.6,0.1,40,5,0,0,0,0,6,2,0,0
0.2,0.6,0.2,40,0,0,0,0,0,21,6,0,0
0.2,0.6,0.2,40,1,0.881666666667,0.31,31.0,37.0,44,4,6.0,37.0
0.2,0.6,0.2,40,2,0,0,0,0,7,2,0,0
0.2,0.6,0.2,40,3,0,0,0,0,10,2,0,0
0.2,0.6,0.2,40,4,0.961666666667,0.238571428571,16.0,22.0,22,7,6.0,22.0
0.2,0.6,0.2,40,5,0,0,0,0,6,2,0,0
